TCS_Name,B_mag,V_mag,R_mag,I_mag,Name
98-L3,14.614,16.55,13.523,12.476,SA98_L3
98-L4,16.332,17.676,15.396,14.611,SA98_L4
98-1002,14.568,15.142,14.214,13.835,SA98_1002
98-590,14.642,15.994,13.889,13.142,SA98_590
98-614,15.674,16.737,14.84,14.195,SA98_614
98-618,12.723,14.915,11.469,10.318,SA98_618
98-624,13.811,14.602,13.394,12.99,SA98_624
98-626,14.758,16.164,13.952,13.136,SA98_626
98-627,14.9,15.589,14.472,14.085,SA98_627
98-634,14.608,15.255,14.226,13.854,SA98_634
98-642,15.29,15.861,14.988,14.595,SA98_642
98-185,10.536,10.738,10.427,10.303,SA98_185
98-646,15.839,16.899,15.256,14.752,SA98_646
98-193,10.03,11.21,9.415,8.878,SA98_193
98-653,9.539,9.535,9.53,9.522,SA98_653
98-650,12.271,12.428,12.191,12.105,SA98_650
98-652,14.817,15.428,14.541,14.202,SA98_652
98-666,12.732,12.896,12.641,12.533,SA98_666
98-671,13.385,14.353,12.81,12.316,SA98_671
98-670,11.93,13.286,11.207,10.554,SA98_670
98-676,13.068,14.214,12.385,11.712,SA98_676
98-675,13.398,15.307,12.316,11.314,SA98_675
98-L5,7.8,19.7,14.7,12.1,SA98_L5
98-682,13.749,14.381,13.383,13.031,SA98_682
98-685,11.954,12.417,11.664,11.384,SA98_685
98-688,12.754,13.047,12.596,12.416,SA98_688
98-1082,15.01,15.845,14.525,13.906,SA98_1082
98-1087,14.439,16.034,13.511,12.629,SA98_1087
98-1102,12.113,12.427,11.92,11.725,SA98_1102
98-1112,13.975,14.789,13.532,13.101,SA98_1112
98-1119,11.878,12.429,11.566,11.267,SA98_1119
98-1124,13.707,14.022,13.534,13.333,SA98_1124
98-1122,14.09,14.685,13.714,13.272,SA98_1122
98-724,11.118,12.222,10.543,10.016,SA98_724
98-733,12.238,13.523,11.54,10.89,SA98_733
RU-149G,12.829,13.37,12.507,12.185,Rubin_149G
RU-149A,14.495,14.793,14.299,14.103,Rubin_149A
RU-149F,13.471,14.586,12.877,12.339,Rubin_149F
RU-149,13.866,13.737,13.906,13.974,Rubin_149
RU-149D,11.48,11.443,11.459,11.451,ubin_149D
RU-149C,14.425,14.62,14.332,14.205,Rubin_149C
RU-149B,12.642,13.304,12.268,11.914,Rubin_149B
RU-149E,13.718,14.24,13.397,13.083,Rubin_149E
RU-152F,14.564,15.199,14.182,13.867,Rubin_152F
RU-152E,12.362,12.404,12.332,12.298,Rubin_152E
RU-152,13.014,12.824,13.071,13.158,Rubin_152
RU-152B,15.019,15.519,14.729,14.42,Rubin_152B
RU-152A,14.341,14.884,14.016,13.687,Rubin_152A
RU-152C,12.222,12.795,11.88,11.54,Rubin_152C
RU-152D,11.076,11.951,10.603,10.154,Rubin_152D
99-438,9.398,9.243,9.457,9.538,SA99_438
99-447,9.417,9.35,9.449,9.49,SA99_447
100-241,10.139,10.296,10.061,9.976,SA100_241
100-162,9.15,10.426,8.501,7.948,SA100_162
100-267,13.027,13.512,12.72,12.418,SA100_267
100-269,12.35,12.897,12.015,11.684,SA100_269
100-280,11.799,12.293,11.504,11.213,SA100_280
100-394,11.384,12.701,10.679,10.043,SA100_394
0918+029,12.272,13.316,11.697,11.162,PG0918_029A
0918+029,13.327,13.056,13.456,13.615,PG0918_029B
0918+029,13.963,14.728,13.546,13.176,PG0918_029C
0918+029,14.49,15.026,14.165,13.829,PG0918_029D
0918+029,13.537,14.168,13.17,12.813,PG0918_029E
-2930,10.067,11.568,9,7.682,BD-12_2918
0942-029,13.707,14.271,13.359,13.016,PG0942-029A
0942-029,14.731,15.514,14.121,13.644,PG0942-029B
0942-029,14.108,14.633,13.74,13.407,PG0942-029C
0942-029,14.004,13.71,14.134,14.283,PG0942-029D
0942-029,14.989,15.716,14.45,14.074,PG0942-029E
101-315,11.249,12.402,10.637,10.078,SA101_315
101-316,11.552,12.045,11.259,10.968,SA101_316
101-L1,16.501,17.258,16.08,15.553,SA101_L1
101-320,13.823,14.875,13.242,12.681,SA101_320
101-L2,15.77,16.372,15.449,15.145,SA101_L2
101-404,13.459,14.455,12.929,12.429,SA101_404
101-324,9.742,10.903,9.151,8.632,SA101_324
101-262,14.295,15.079,13.855,13.468,SA101_262
101-408,14.785,15.985,14.067,13.464,SA101_408
101-326,14.923,15.652,14.517,14.142,SA101_326
101-410,13.646,14.192,13.348,13.022,SA101_410
101-327,13.441,14.596,12.724,12.15,SA101_327
101-413,12.583,13.566,12.054,11.557,SA101_413
101-268,14.38,15.911,13.34,12.14,SA101_268
